,text,bias
0,You forgot that the founders were a bunch of white guys who owned slaves.  You better go back to Commie School to finish your education.,1
1,So sez who?  Elizabeth Warrens brother  Oh I know you are the brother to the Wolf Eagle  Why do you hate white so much.  If not for them you would be speaking Japanese  Hating whites I know you would not want to speak German. Right Go study WWII instead of Bambi and Mark and shut the yap,1
2,for trudeau to me marching in every parade  hes gotta be gay himself. His marriage is a coverup,1
3,Or rooting out the trouble makers maybe. It appears the civilized world is sick of the shenanigans these Islamists are constantly up to.,1
4,So Gabby is the worst because she didnt put her hand over her heart?  This is the most ignorant statement Ive read today. You know what the worst was at the Olympics? The four American swimmers that lied about breaking down a door. One actually said the gunman put the gun to his head.  Except there was no gunman. This is an embarrassment to the US. Not Gabby. I think youre white privilege is showing.,1
5,4 Hinduism worships gods that are not the God of the Bible.  Why should money spent on a Catholic school facilitate paganismpolytheism? My Catholic university spent money to buy idols for their worship services.,1
6,Did   the  black  players  protest    the cold  blooded  murder  of  the  white  teacher  in  Oakland  by  a  black  dirtbag?,1
7,Awwww poor Greggy. Hurt by the mean feminists.,1
8,This inclusive stuff baffles me. If I play hockey and one of players states that he is gay Im supposed to accept him as a teammate even though I find the thought of shoving a penis into another mans anal canal disgusting and weird?  The world is wacky.,1
9,charles are YOU by chance BLACK?????????????,1
10,Ask Jerry Prevo Don Young the hateful Alaska GOP what their part was in this. Their constant hate rhetoric and call for disenfranchising gays. This is not just Muslim hate. Time for legislation for common sense gun safety LGBT statewide equality. Also this is what GOP RFRAs protect. The right to incite hate violence and murder of the gay tribe.,1
11,There two types of Muslims:  the extremists and the moderates. The extremist want to kill us all. The moderates will let them.,1
12,Racism is evil and those who cause violence in its name are criminals and thugs including the KKK neoNazis white supremacists and other hate groups that are repugnant to everything we hold dear as Americans Trump said in a statement to reporters at the White House.  The finest statement Trump has made since assuming the Presidency.,1
13,Its about time. The rest of us have been fearing for our safety since Muslim terrorism reared its ugly head.,1
14,Oh look a liberal gaybaiting.,1
15,I knew those Arabs are crazy   URL    URL   LMAO...my ex girfriends ex husband is Iranian.  That guy is an absolute hoot  Love hanging with him,1
16,I am not sure how we can talk about 'ruling the planet' when there are so many different people in different parts of the planet with many different governments. A claim like this one sounds like a conspiracy theory.,0
17,"Our economy is built on the back of hard work by all, and minorities can work very hard to build it up, Jewish people included.",0
18,"To those saying that it's time for us to ""wake up"", what do you suggest exactly? Is it that we stop oppressing these people or stop talking about equality?",0
19,"Jews have been persecuted because of their religion and culture, and now they are a group of people who are still suffering injustice and discrimination. There are many other religions that are persecuted, that's true, but a small minority doesn't suffer less.",0
20,Being shamed by society for something you cannot control can be deeply damaging to a person's mental health.,0
21,"Would you say the same thing to your mother, or to the nurses who treat you in hospital, or the teacher who taught you in school?",0
22,How about the teacher I once worked with that told a group of 6th graders that gays are all hellbound pedophiles.  I bet youre OK with that though.,0
23,"Muslims are welcome here, but they have to follow the law. Why should we ban them if they respect the law?",0
24,"Patriarchy is a system of social domination based on hierarchical groupings made according to one's sex. To promote a more equal society, as feminists do, is instead a major contribution to the 'Western World'.",0
25,"There is no evidence that terrorists are entering through the Mexican border. In 2014, Homeland Security noted that “the suggestion that individuals that have ties to ISIL have been apprehended at the southwest border is categorically false, and not supported by any credible intelligence or facts on the ground.” Also, according to another 2017 report by the Bureau of Counterterrorism “Counterterrorism cooperation between the Mexican and U.S. governments remained strong. There are no known international terrorist organizations operating in Mexico, no evidence that any terrorist group has targeted U.S. citizens in Mexican territory, and no credible information that any member of a terrorist group has traveled through Mexico to gain access to the United States.” In fact, the vast majority of those linked to terrorism since 2002 are U.S. citizens.",0
26,Give whats left to the tribe us poor white people always get the shaft.,0
27,"Just like everyone else, I am sure Jews are trying to influence the world in a positive way but there is no proof they are the only ones with power in this world.",0
28,The problem is that Hindus are finding it difficult to integrate into mainstream society when being treated this way.,0
29,Why do you say this about women? Try explaining it to your mother or grandmother.,0
30,And we have todays WINNAH for the most idiotic post of the day  Quite an accomplishment in that we have at least two Bambibrained white animal rights weeblewobbles proclaiming their maudlin stupidity on this thread.  Tell you what RRresearch the term apples and oranges and get back to us...,0
31,"The Jewish community has been and is still a strong force in society, for example in medicine and nursing home care. Jewish health professionals have saved and are continuing to save countless lives in the US and around the world. Many of your statements are not accurate.",0
